Insaisissables 2;0.02;31;22200;26500
Les reines de la route;0.02;33;14800;14800
Les mauvais garçons;0.02;44;2400;3900
Vox pop;0.02;27;880;11000
The Lost City of Z;0.02;41;27100;226800
Omar Sharif;0.02;44;27100;231700
Nabucco;0.02;29;2900;36900
Streetphilosophy;0.02;34;110;660
Terres de femmes;0.02;25;880;2000
Le ventre de Florence;0.02;-2;30;30
Le jour de mon retour;0.02;29;4400;4900
La prodigieuse Elena Ferrante;0.02;-2;10;20
En attendant les hirondelles;0.02;26;1000;1700
Des robots et des hommes;0.02;-2;20;160
Le plus grand cirque du monde;0.02;31;4400;4700
Elisabeth Ire;0.02;-2;10;180
Objectif mode;0.02;23;70;140
Au milieu de la rivière;0.02;-2;10;20
Atlantique latitude 41°;0.02;35;2400;2600
Sur les traces du passé;0.02;27;1600;1600
Making Waves;0.02;40;480;10700
Les Slaves;0.02;24;590;1100
Thomas Pesquet : objectif Mars;0.02;14;140;780
Opera in Love;0.02;-2;-2;10
Caravage;0.02;46;22200;26200
Vétéran;0.02;42;1300;2600
Dévoilées;0.02;29;1900;2100
La croisade des enfants;0.02;45;1600;1900
There Will Be Blood;0.02;27;22200;373700
Mary Reilly;0.02;31;1900;13500
Enquête sous haute tension;0.02;29;1900;2300
Les animaux de la 8;0.02;36;5400;5900
Le mag qui fait du bien;0.02;27;3600;3600
Un mariage de convenance;0.02;23;320;450
L'homme de ma vie;0.02;21;1300;2100
Télé-achat;0.02;56;6600;7500
William à midi;0.02;28;1600;1800
World War Z;0.02;44;27100;663000
Il a déjà tes yeux;0.02;39;14800;17000
César et Rosalie;0.02;40;14800;16800
Darkest Minds : rébellion;0.02;15;480;1300
Ninja Turtles 2;0.02;46;3600;38800
Un meurtre parfait;0.02;25;210;540
Machinations;0.02;30;110;40600
Gentlemen cambrioleurs;0.02;33;2900;3500
Assassination Games;0.02;32;880;23900
Premier contact;0.02;32;22200;26500
Menace maternelle;0.02;24;140;230
Que la fête commence;0.02;33;9900;11100
W9 Hits;0.02;30;210;330
Prémonitions;0.02;44;5400;7500
Génération Hit machine;0.02;28;260;460
Sister Act;0.02;46;22200;200400
Sister Act. acte 2;0.02;31;140;250
Mon milliardaire secret;0.02;24;480;680
Les Marseillais à Dubaï;0.02;31;1900;3500
Deepwater;0.02;38;22200;119800
Le meilleur du Marrakech du Rire;0.02;-2;-2;-2
Demain nous appartient;0.01;61;1000000;1100000
New York Unité Spéciale;0.01;51;14800;19300
Pays et marchés du monde;0.01;-2;0;140
Les petits meurtres d'Agatha Christie;0.01;41;18100;23700
Speakerine;0.01;38;1900;3600
Une planète parfaite;0.01;37;1900;1900
C'est pas le bout du monde;0.01;27;170;320
Grantchester;0.01;43;6600;127200
Les enquêtes de Morse;0.01;28;4400;5300
Crimes parfaits;0.01;34;40500;42700
Simon;0.01;65;12100;350800
J'irai dormir chez vous;0.01;33;18100;20500
Les 100 lieux qu'il faut voir;0.01;37;2400;2500
Ernest et Célestine;0.01;48;9900;13700
Cauchemar en cuisine;0.01;39;40500;47900
Hawaii 5-0;0.01;43;12100;64400
Silex and the City;0.01;46;2900;3300
Nomade des mers. les escales de l'innovation;0.01;-2;10;10
L'homme et la Lune;0.01;-2;10;40
Murdoch. le grand manipulateur des médias;0.01;-2;-2;-2
Animaux à adopter : nouvelle famille pour une nouvelle vie;0.01;22;390;840
MacGyver *2016;0.01;37;12100;65600
Les routes les plus dangereuses du monde;0.01;28;590;760
Les docs du week-end;0.0;-1;-1;-1
TF1. rendez-vous sport;0.0;-1;-1;-1
Et si on se réinventait ?;0.0;-1;-1;-1
Les experts : Miami;0.0;-1;-1;-1
Programmes de la nuit;0.0;-1;-1;-1
Les feux de l'amour;0.0;-1;-1;-1
Le rêve brisé de ma fille : Droguée par sa coach;0.0;-1;-1;-1
Je te promets;0.0;-1;-1;-1
Chicago Police Department;0.0;-1;-1;-1
Maison à vendre. mari à voler;0.0;-1;-1;-1
Le secret du phare;0.0;-1;-1;-1
S.W.A.T. *2017;0.0;-1;-1;-1
Coup de foudre avec une star;0.0;-1;-1;-1
L'amour comme chiens et chats;0.0;-1;-1;-1
A la merci de mon patron;0.0;-1;-1;-1
Je t'aime à te tuer !;0.0;-1;-1;-1
Le vrai visage de ma fille;0.0;-1;-1;-1
Adopte-moi ou je te tuerai;0.0;-1;-1;-1
Stars à nu;0.0;-1;-1;-1
Vendredi. tout est permis avec Arthur;0.0;-1;-1;-1
Téléshopping samedi;0.0;-1;-1;-1
Génération Ushuaïa;0.0;-1;-1;-1
Nés pour bouger;0.0;-1;-1;-1
The Voice. la plus belle voix;0.0;-1;-1;-1
Maman ne te fera aucun mal;0.0;-1;-1;-1
L'enfant que l'on m'a volé;0.0;-1;-1;-1
Maman. j'ai menti...;0.0;-1;-1;-1
A l'épreuve du lycée;0.0;-1;-1;-1
Tirage de l'Euro Millions;0.0;-1;-1;-1
Nous deux. c'était écrit;0.0;-1;-1;-1
Coup de foudre pour la bachelorette;0.0;-1;-1;-1
Mon mariage avec mon meilleur ami;0.0;-1;-1;-1
Coup de foudre à la Saint-Valentin;0.0;-1;-1;-1
Un coach pour la Saint-Valentin;0.0;-1;-1;-1
Il faut sauver... les Alpes;0.0;-1;-1;-1
Coup de foudre à Rome;0.0;-1;-1;-1
Un coup de foudre en héritage;0.0;-1;-1;-1
Des fiançailles sous la neige;0.0;-1;-1;-1
Et si c'était lui ?;0.0;-1;-1;-1
Coup de foudre sur les pistes;0.0;-1;-1;-1
L'inconnu du bal;0.0;-1;-1;-1
Ma plus belle histoire. c'est vous !;0.0;-1;-1;-1
Amour. duel et pâtisserie;0.0;-1;-1;-1
La recette du coup de foudre;0.0;-1;-1;-1
Un amour qui a du chien;0.0;-1;-1;-1
Coup de foudre et quiproquos;0.0;-1;-1;-1
Amour et quiproquos;0.0;-1;-1;-1
La recette du grand amour;0.0;-1;-1;-1
Un amour de pâtisserie;0.0;-1;-1;-1
Duos mystères;0.0;-1;-1;-1
Les Enfants de la télé. la suite;0.0;-1;-1;-1
Votre télé et vous;0.0;-1;-1;-1
Rencontres à XV;0.0;-1;-1;-1
Parole inattendue;0.0;-1;-1;-1
Laisse entrer la nature;0.0;-1;-1;-1
13h15. le dimanche...;0.0;-1;-1;-1
Affaire conclue. tout le monde a quelque chose à vendre;0.0;-1;-1;-1
